N,P,K,temperature,humidity,ph,water_oxygen,water_temp,fish_density,label
85,31,40,19.6,72.8,5.7,8.9,22.5,1.8,Lettuce
114,30,41,19.5,72.8,6.1,8.6,18.5,0.8,Lettuce
88,36,31,22.3,75.2,5.9,7.1,19.6,1.7,Lettuce
97,58,49,20.1,75.8,6.1,8.4,23.5,1.1,Lettuce
97,33,43,18.3,71.3,6.4,8.8,21.0,1.9,Lettuce
82,31,39,22.9,64.2,6.5,7.6,21.8,0.7,Lettuce
111,46,59,23.0,62.7,5.9,5.9,23.4,0.6,Lettuce
92,36,43,20.3,79.7,6.2,5.8,25.9,1.2,Lettuce
111,43,34,19.9,61.5,6.0,5.6,23.1,1.7,Lettuce
119,50,49,19.0,63.3,5.9,6.6,20.3,1.8,Lettuce
101,49,55,22.4,76.8,6.4,6.1,20.7,1.6,Lettuce
108,41,36,19.2,67.2,6.2,8.2,18.3,1.6,Lettuce
98,40,42,19.2,61.4,5.6,7.1,25.8,1.1,Lettuce
120,48,30,18.2,61.9,6.2,9.6,26.1,1.7,Lettuce
99,53,51,19.7,64.3,6.5,9.2,24.5,1.6,Lettuce
90,30,30,23.4,79.0,6.4,6.7,19.7,1.0,Lettuce
113,44,40,21.4,72.9,6.3,8.1,18.6,1.1,Lettuce
84,41,33,19.2,68.9,6.2,5.9,20.6,1.3,Lettuce
113,40,51,19.4,67.2,6.3,5.6,23.3,1.8,Lettuce
101,56,53,21.9,64.6,6.4,9.8,25.3,1.4,Lettuce
97,34,40,23.4,73.4,5.7,9.7,27.3,1.5,Lettuce
80,43,45,18.0,74.5,6.5,9.6,23.8,1.7,Lettuce
113,32,43,23.2,78.5,6.5,9.3,25.8,1.4,Lettuce
110,30,40,21.2,60.9,5.7,8.6,19.1,0.9,Lettuce
81,58,50,22.0,68.5,6.0,6.0,27.2,0.7,Lettuce
116,36,56,22.7,73.8,5.6,5.4,26.3,0.7,Lettuce
85,34,52,18.7,71.1,5.8,7.8,19.2,2.0,Lettuce
112,54,51,18.9,65.1,5.7,7.3,22.4,0.6,Lettuce
82,31,57,18.3,79.2,5.7,9.4,20.9,1.0,Lettuce
84,40,39,21.6,67.1,6.4,8.9,18.1,1.6,Lettuce
120,37,31,18.5,60.1,6.3,9.8,26.1,1.5,Lettuce
84,56,39,22.1,60.9,6.0,6.4,21.2,0.5,Lettuce
88,46,51,22.0,66.9,6.1,9.4,22.6,0.7,Lettuce
97,34,36,20.0,76.9,6.1,7.1,19.9,1.1,Lettuce
97,32,44,23.1,65.2,6.2,6.5,19.9,1.2,Lettuce
103,45,59,20.0,75.3,5.7,5.5,19.7,0.6,Lettuce
101,39,45,22.2,74.5,6.4,6.5,18.5,0.7,Lettuce
86,57,34,19.5,60.6,5.8,7.9,20.3,1.1,Lettuce
103,45,43,23.7,61.9,6.2,7.6,18.2,1.5,Lettuce
112,59,30,19.2,69.8,6.4,6.8,27.0,1.9,Lettuce
92,32,60,22.0,60.8,6.1,7.5,18.0,1.2,Lettuce
117,56,52,19.7,60.1,6.1,6.1,21.1,0.8,Lettuce
116,59,48,20.1,74.4,6.0,8.2,18.7,2.0,Lettuce
104,45,56,20.3,76.6,6.0,8.2,23.3,1.9,Lettuce
100,57,59,19.3,61.9,6.4,6.8,18.2,1.2,Lettuce
114,59,45,19.2,76.7,6.0,5.5,19.8,0.9,Lettuce
84,49,56,20.2,64.3,5.6,7.6,24.6,1.9,Lettuce
95,38,47,19.2,76.5,5.6,8.1,23.2,1.4,Lettuce
115,48,53,18.2,73.2,5.6,7.7,26.5,1.9,Lettuce
107,38,37,23.6,68.4,6.0,8.2,23.8,0.9,Lettuce
109,58,53,18.5,72.6,6.4,5.5,25.0,0.6,Lettuce
83,56,47,24.0,70.8,5.9,6.2,24.1,1.4,Lettuce
106,55,46,22.0,66.0,5.9,8.9,22.4,1.3,Lettuce
114,38,49,22.8,77.6,5.6,6.4,21.4,1.2,Lettuce
96,56,51,19.5,71.1,5.5,6.3,22.1,1.4,Lettuce
81,36,55,18.7,72.8,5.9,8.7,23.1,1.1,Lettuce
82,52,51,20.6,77.9,6.2,8.7,26.5,1.0,Lettuce
106,43,52,18.2,77.8,5.6,7.8,21.9,0.9,Lettuce
120,33,40,19.9,72.3,6.3,8.3,24.4,1.3,Lettuce
120,60,36,21.0,78.2,6.2,9.8,19.2,0.8,Lettuce
80,56,41,18.4,79.4,6.2,9.2,19.9,0.8,Lettuce
80,30,38,22.1,77.9,6.1,9.9,24.6,0.9,Lettuce
115,37,52,22.1,76.5,6.4,7.4,27.8,2.0,Lettuce
116,34,60,18.5,66.2,6.4,5.4,24.0,1.7,Lettuce
95,46,53,19.8,77.5,5.9,7.3,19.2,2.0,Lettuce
97,49,53,19.2,60.6,5.6,5.4,26.3,1.8,Lettuce
119,57,51,21.5,65.1,6.3,9.7,20.0,0.9,Lettuce
98,40,50,19.4,76.1,6.0,9.0,20.6,1.4,Lettuce
81,44,43,20.0,76.4,6.4,5.3,27.8,0.8,Lettuce
85,55,55,21.8,63.5,6.2,7.5,27.6,1.8,Lettuce
85,42,53,22.8,67.2,5.8,9.1,21.9,1.7,Lettuce
111,40,30,21.4,72.0,5.9,7.9,24.4,1.2,Lettuce
119,30,49,18.9,64.1,6.4,7.1,23.0,0.9,Lettuce
100,45,52,20.3,74.5,6.2,5.3,21.4,1.5,Lettuce
95,51,50,22.5,74.7,5.6,8.6,23.2,1.7,Lettuce
91,39,32,22.3,73.2,6.0,8.2,18.8,0.9,Lettuce
115,39,39,18.6,67.9,5.7,5.4,24.5,1.4,Lettuce
101,60,60,21.9,69.9,6.2,8.6,27.9,0.6,Lettuce
101,33,38,20.4,69.7,5.6,8.4,26.2,0.5,Lettuce
83,57,50,20.4,79.7,6.2,7.3,22.5,1.2,Lettuce
89,56,31,22.9,68.2,6.2,7.1,24.7,1.1,Lettuce
90,42,33,22.1,70.5,6.4,8.1,22.5,1.2,Lettuce
86,35,44,21.7,70.3,6.4,9.9,18.3,1.3,Lettuce
116,58,40,19.6,72.6,6.1,5.2,22.3,0.6,Lettuce
113,37,38,22.4,66.2,6.4,8.5,25.1,1.4,Lettuce
98,48,46,20.9,72.3,6.0,5.7,23.8,0.5,Lettuce
98,30,31,23.5,77.8,6.0,8.2,22.1,0.6,Lettuce
83,32,41,20.1,64.6,5.9,8.7,25.3,0.6,Lettuce
120,47,43,18.7,71.0,6.1,8.7,20.8,1.0,Lettuce
119,55,31,19.9,60.7,5.6,7.3,23.0,0.5,Lettuce
108,52,44,18.0,74.7,5.6,8.4,25.9,1.4,Lettuce
86,32,52,20.5,77.5,6.4,6.9,25.2,1.3,Lettuce
105,33,38,23.1,74.3,5.7,6.0,24.3,1.8,Lettuce
87,39,54,20.5,77.8,6.2,7.8,25.8,0.8,Lettuce
88,30,44,19.9,65.2,5.7,5.7,21.2,1.6,Lettuce
117,40,44,22.6,71.5,6.3,6.0,21.2,1.3,Lettuce
102,58,35,22.9,64.8,6.5,5.4,23.5,1.3,Lettuce
98,35,59,21.0,74.6,6.0,5.5,20.6,0.6,Lettuce
92,53,58,18.4,72.8,5.6,7.1,23.2,0.7,Lettuce
93,37,36,22.2,77.3,6.0,8.5,27.8,1.0,Lettuce
113,48,30,19.6,64.0,5.9,5.3,26.9,1.6,Lettuce
89,47,30,21.8,65.5,6.2,7.1,18.0,0.6,Lettuce
94,45,40,22.3,78.5,6.2,9.2,27.7,0.8,Lettuce
100,44,59,22.3,67.6,5.9,7.3,24.5,2.0,Lettuce
107,33,30,23.2,61.9,5.9,5.6,27.7,1.6,Lettuce
90,43,46,20.4,61.7,5.8,9.0,19.2,1.1,Lettuce
114,30,51,19.9,78.8,6.0,9.7,22.3,1.3,Lettuce
82,53,35,21.1,75.3,6.4,9.7,21.0,1.1,Lettuce
112,37,38,20.7,60.3,5.5,5.6,21.2,1.7,Lettuce
109,32,35,19.4,72.9,5.8,9.2,25.1,0.9,Lettuce
119,32,50,21.4,68.2,6.4,7.6,18.1,1.6,Lettuce
105,39,34,20.2,77.6,6.2,8.7,21.8,1.7,Lettuce
105,34,32,18.8,77.3,6.1,5.0,18.3,0.7,Lettuce
87,43,52,18.1,63.1,6.1,8.9,20.1,1.4,Lettuce
108,37,55,20.0,79.7,5.9,7.5,24.2,0.5,Lettuce
107,40,57,23.6,68.6,6.1,7.2,19.8,2.0,Lettuce
113,35,50,19.9,67.1,5.6,5.4,18.9,1.7,Lettuce
92,56,36,24.0,74.1,6.0,6.5,18.4,1.7,Lettuce
97,41,38,19.0,73.5,5.8,8.8,18.1,1.7,Lettuce
107,47,34,20.5,77.6,5.5,9.6,19.4,1.0,Lettuce
115,31,52,21.0,76.0,5.5,9.8,20.4,1.8,Lettuce
101,59,59,23.1,67.2,6.2,7.6,20.1,0.6,Lettuce
99,46,59,20.4,66.3,6.4,7.6,18.3,1.7,Lettuce
87,49,44,22.5,69.8,6.4,7.1,18.7,1.5,Lettuce
103,59,48,23.2,73.3,6.1,8.1,26.7,1.4,Lettuce
81,60,57,19.1,71.0,6.5,9.7,23.1,0.6,Lettuce
108,58,40,19.0,73.3,6.5,7.2,23.6,1.8,Lettuce
84,33,49,19.5,75.1,6.2,6.3,19.9,1.4,Lettuce
88,48,39,22.3,64.7,6.4,8.9,23.2,1.9,Lettuce
102,58,53,23.0,77.7,6.2,7.8,27.1,1.5,Lettuce
99,40,45,20.2,76.5,5.7,6.9,22.7,0.6,Lettuce
107,52,34,20.5,62.0,5.8,6.6,27.9,1.6,Lettuce
88,44,37,19.5,65.2,5.7,6.1,20.4,0.9,Lettuce
111,57,43,23.4,70.0,6.1,8.2,27.0,1.8,Lettuce
110,52,50,22.1,72.3,5.8,9.3,20.3,1.8,Lettuce
103,40,35,18.5,65.5,5.8,8.4,22.6,0.9,Lettuce
118,50,41,20.6,72.6,6.0,7.0,24.8,1.0,Lettuce
97,38,45,19.0,60.7,6.0,8.6,22.6,2.0,Lettuce
101,49,40,22.1,65.8,6.3,5.1,25.6,1.2,Lettuce
92,51,59,20.9,64.5,6.2,8.1,21.7,0.9,Lettuce
84,55,42,19.3,75.1,6.1,8.4,23.7,1.8,Lettuce
88,36,57,22.6,61.9,6.2,6.1,27.2,1.2,Lettuce
117,44,54,23.5,60.6,5.6,6.7,19.4,1.3,Lettuce
118,45,40,19.6,75.5,6.2,6.2,27.4,0.7,Lettuce
89,42,56,20.8,64.9,5.9,8.2,23.3,1.6,Lettuce
112,52,36,20.6,74.9,5.9,6.4,26.8,1.6,Lettuce
102,49,58,18.1,67.9,5.8,9.5,24.5,1.5,Lettuce
95,40,40,21.2,72.9,6.3,5.2,23.0,0.6,Lettuce
103,54,40,18.7,72.9,5.7,8.4,20.1,1.4,Lettuce
82,58,46,20.9,65.9,5.6,6.6,27.4,1.4,Lettuce
98,42,45,22.8,71.3,5.9,5.3,25.4,1.3,Lettuce
118,45,41,19.4,60.8,5.8,8.8,18.6,1.5,Lettuce
99,53,30,22.3,68.4,5.6,7.4,23.8,0.9,Lettuce
85,51,46,18.9,77.1,6.2,7.5,27.3,1.7,Lettuce
117,41,35,18.0,74.3,5.7,5.3,22.0,0.7,Lettuce
93,54,35,22.2,65.7,5.8,9.7,20.4,1.3,Lettuce
106,34,57,22.8,79.1,6.3,9.4,20.6,0.9,Lettuce
83,38,48,19.8,78.5,5.9,5.2,27.0,0.6,Lettuce
83,55,52,22.7,67.1,5.9,8.9,19.1,1.0,Lettuce
110,60,42,23.5,69.8,5.7,9.3,23.7,1.3,Lettuce
93,34,42,18.8,78.3,5.9,5.1,26.3,1.8,Lettuce
80,57,55,22.7,75.4,6.5,8.2,19.3,0.7,Lettuce
114,43,55,20.5,73.4,6.3,9.6,19.7,1.1,Lettuce
102,60,51,22.3,75.3,5.6,6.3,25.7,1.2,Lettuce
96,57,40,23.8,64.1,6.5,5.9,18.0,1.5,Lettuce
80,37,50,21.7,61.6,5.8,10.0,22.0,1.7,Lettuce
86,46,55,18.6,65.3,5.5,8.9,25.4,1.3,Lettuce
80,31,59,20.9,67.9,6.5,6.2,19.0,0.6,Lettuce
117,43,32,22.4,70.0,6.2,6.3,24.5,1.5,Lettuce
81,53,40,18.1,62.5,5.7,6.2,19.8,1.5,Lettuce
107,35,46,19.0,73.7,5.7,8.3,22.2,0.7,Lettuce
108,48,59,18.1,65.3,6.0,10.0,23.1,1.5,Lettuce
94,33,30,21.5,73.5,5.5,8.2,21.9,1.2,Lettuce
90,51,34,18.5,72.4,5.8,8.5,25.7,1.8,Lettuce
87,40,35,24.0,79.6,5.7,6.9,26.3,0.9,Lettuce
100,55,54,19.5,79.1,5.8,9.9,21.1,0.5,Lettuce
84,55,49,20.9,66.2,5.5,9.0,19.0,0.9,Lettuce
101,58,39,22.3,66.9,5.7,8.8,25.9,1.3,Lettuce
99,33,46,18.3,66.9,5.7,7.2,19.3,0.9,Lettuce
95,42,59,21.0,67.2,5.5,5.1,22.1,1.1,Lettuce
83,31,38,19.6,68.2,6.2,6.1,19.1,1.4,Lettuce
97,60,44,23.3,76.2,6.3,5.2,22.8,0.6,Lettuce
117,31,44,18.7,69.8,6.1,9.0,25.9,0.8,Lettuce
113,41,53,20.5,69.6,6.1,7.9,27.3,1.5,Lettuce
103,56,53,19.1,68.4,6.4,9.2,19.1,1.4,Lettuce
92,44,38,18.8,75.0,6.0,7.0,22.7,1.6,Lettuce
120,32,58,23.2,70.3,5.8,5.7,23.7,1.2,Lettuce
114,60,45,20.2,78.4,5.6,8.8,20.0,1.3,Lettuce
119,37,54,19.1,78.6,6.3,8.8,26.5,1.7,Lettuce
90,30,60,23.9,64.4,6.0,9.8,21.6,1.8,Lettuce
94,49,53,19.7,78.1,6.0,6.0,21.3,1.9,Lettuce
96,50,60,20.7,73.5,6.1,6.2,23.5,1.4,Lettuce
