N,P,K,temperature,humidity,ph,rainfall,yield,risk
78,50,74,24.68,72.21,5.97,169,4.93,Low
53,20,30,19.56,62.91,6.7,177,3.23,Low
68,55,78,19.2,59.7,7.0,139,4.64,Low
85,78,43,24.35,50.73,7.47,147,4.68,High
82,20,53,32.09,55.68,7.38,183,4.06,High
101,76,52,18.8,87.52,6.39,207,5.73,Low
101,37,61,18.15,85.06,7.01,139,4.86,Low
120,22,69,22.01,79.27,7.12,215,5.38,Low
84,67,74,27.08,66.71,6.72,93,4.88,Low
60,42,70,20.8,70.37,6.29,259,4.87,Low
80,36,26,32.48,59.88,7.11,175,3.84,High
94,75,38,18.33,72.22,7.48,198,5.16,High
75,28,79,21.52,71.14,5.96,254,5.01,Low
90,79,42,21.97,54.71,6.62,238,5.25,Low
115,59,45,18.1,85.38,6.27,141,5.21,Low
92,78,39,21.56,81.25,6.91,143,5.01,Low
104,62,68,30.56,73.27,6.74,237,5.82,Medium
74,28,47,31.47,83.85,6.05,165,4.15,Medium
68,39,72,34.98,76.9,5.78,129,4.4,High
66,45,63,30.29,78.28,6.53,250,4.93,Medium
109,37,58,33.25,83.36,7.04,264,5.55,High
77,60,51,27.08,76.19,6.86,294,5.37,Low
62,66,78,18.11,86.58,6.42,299,5.79,Low
61,21,49,33.69,81.23,6.12,214,4.07,High
114,73,70,28.91,70.8,7.27,212,6.05,High
92,70,46,31.74,77.94,6.26,273,5.61,Medium
89,21,23,29.55,76.14,6.48,93,3.44,Medium
91,55,72,30.0,65.07,7.03,189,5.23,Medium
71,58,31,22.8,74.83,5.94,258,4.7,Low
110,26,80,32.38,70.4,7.02,120,4.9,High
99,31,57,33.35,70.33,5.93,115,4.39,High
63,57,25,24.8,76.82,6.97,103,3.7,Low
99,72,70,27.71,67.9,5.87,81,5.1,Low
81,21,58,30.02,63.28,6.17,152,4.06,Medium
113,28,66,28.24,54.1,6.31,233,5.16,Medium
110,48,73,19.41,84.86,5.89,118,5.29,Low
91,43,63,34.64,74.44,6.39,290,5.48,High
67,42,78,32.7,63.51,5.6,227,4.89,High
108,39,30,33.35,62.39,7.36,140,4.27,High
53,32,70,22.39,83.74,6.7,122,4.03,Low
73,36,35,19.37,52.92,6.76,169,3.77,Low
99,60,31,33.02,85.06,7.12,139,4.71,High
63,46,36,34.07,82.74,6.18,100,3.74,High
65,25,52,24.44,66.61,7.05,93,3.5,Low
53,47,52,25.73,61.05,6.1,201,4.15,Low
110,64,31,28.43,85.91,5.55,270,5.63,High
117,79,37,34.68,53.65,7.29,193,5.38,High
70,77,61,26.52,56.19,7.32,114,4.6,High
77,44,39,28.68,59.98,5.84,142,3.98,Medium
76,47,63,29.1,56.35,5.63,249,4.91,High
93,35,25,19.61,80.39,7.05,161,4.16,Low
84,69,61,33.89,82.41,7.37,262,5.7,High
74,76,63,21.75,68.79,5.61,133,4.9,High
99,35,39,32.24,84.96,6.14,120,4.33,High
79,44,77,21.54,66.84,6.78,82,4.41,Low
68,67,70,20.51,77.9,6.75,248,5.44,Low
54,49,66,33.75,75.51,7.26,80,3.97,High
115,51,33,33.96,71.11,5.98,271,5.38,High
55,37,69,30.31,58.32,5.88,202,4.28,Medium
70,28,66,27.46,60.44,6.05,162,4.15,Low
85,54,27,29.55,52.4,7.19,212,4.35,Medium
74,70,72,28.13,76.55,5.89,275,5.74,Medium
89,33,78,22.26,84.74,6.27,270,5.53,Low
57,69,68,27.84,66.9,6.19,176,4.78,Low
108,38,47,22.7,88.67,6.1,132,4.76,Low
61,39,63,20.69,88.82,6.36,161,4.41,Low
52,63,60,33.89,89.38,5.92,222,4.92,High
93,27,24,23.32,68.27,5.59,133,3.75,High
120,46,35,26.9,55.22,5.98,213,4.97,Low
64,66,56,18.38,88.78,6.39,95,4.46,Low
67,80,36,28.8,65.22,6.15,251,4.96,Medium
64,55,52,22.9,74.97,6.22,133,4.26,Low
70,32,36,29.56,51.71,7.45,169,3.66,High
120,70,46,34.89,64.18,6.75,192,5.54,High
109,23,21,18.36,71.98,5.86,293,4.73,Low
66,58,47,21.08,84.92,5.58,219,4.79,High
63,77,65,30.73,50.23,6.36,255,5.19,Medium
72,41,77,30.98,79.07,6.15,270,5.31,Medium
53,47,74,32.55,56.78,6.85,130,4.12,High
100,51,69,29.22,74.51,7.36,171,5.27,High
105,45,26,22.46,51.36,6.35,220,4.55,Low
79,80,45,25.92,68.97,5.79,232,5.25,High
92,74,59,34.27,51.67,6.54,248,5.51,High
108,71,72,30.8,72.26,6.96,106,5.44,Medium
72,77,23,21.44,79.0,7.49,190,4.61,High
93,57,60,34.94,81.64,7.22,271,5.67,High
79,46,75,23.63,61.64,5.67,217,5.03,High
83,35,31,21.25,81.83,7.33,160,4.1,High
103,22,68,24.75,55.43,7.04,87,4.21,Low
112,55,40,34.89,56.36,6.25,232,5.17,High
120,21,25,31.7,82.43,6.54,217,4.68,Medium
87,34,24,18.46,81.45,6.29,193,4.2,Low
109,72,41,28.36,80.21,6.15,255,5.78,Medium
88,24,73,30.75,62.77,5.56,241,4.92,High
108,42,43,33.61,52.61,7.03,139,4.44,High
86,41,70,20.17,60.57,6.52,256,5.17,Low
104,55,36,20.82,65.31,7.07,82,4.31,Low
111,52,38,21.21,79.39,6.52,242,5.35,Low
67,37,39,33.42,66.23,6.44,286,4.48,High
70,63,41,25.46,60.63,7.23,129,4.15,High
78,21,65,31.63,79.16,6.85,147,4.26,Medium
93,69,73,30.42,71.92,7.5,167,5.47,High
89,37,69,30.47,67.35,6.36,156,4.7,Medium
75,52,65,32.3,72.56,5.73,121,4.53,High
61,32,54,25.73,54.77,7.08,142,3.71,Low
56,27,29,21.99,53.21,5.88,238,3.59,Low
104,29,29,29.45,53.33,6.94,268,4.57,Medium
68,74,61,18.04,82.04,7.24,253,5.47,High
78,43,22,18.42,80.34,6.64,138,3.88,Low
69,36,53,28.37,65.2,6.72,109,3.83,Medium
52,21,73,30.71,60.05,7.12,134,3.7,Medium
105,21,49,32.25,68.1,7.27,294,5.07,High
83,62,52,30.11,74.13,6.4,110,4.57,Medium
94,38,75,20.44,84.9,6.45,103,4.81,Low
57,75,33,32.63,87.78,6.64,98,4.12,High
57,38,41,34.83,73.17,7.0,162,3.81,High
69,43,56,24.33,71.58,5.93,159,4.31,Low
114,30,76,22.69,51.66,7.06,261,5.49,Low
98,24,54,29.13,83.93,5.62,282,5.18,High
53,76,45,19.78,81.46,5.89,156,4.49,Low
68,71,46,28.73,74.17,5.73,118,4.42,High
113,20,27,19.36,74.1,7.17,158,4.2,Low
101,41,27,26.9,62.38,6.78,198,4.43,Low
74,78,68,34.25,86.74,7.45,150,5.28,High
55,55,21,21.96,61.55,6.85,178,3.69,Low
70,61,59,19.5,67.32,7.23,81,4.24,High
109,28,73,32.58,56.61,6.68,223,5.18,High
83,35,50,31.31,71.3,6.16,251,4.77,Medium
67,57,77,19.93,82.35,5.55,222,5.28,High
66,76,52,27.11,65.0,5.92,261,5.19,Low
62,26,39,32.73,61.1,6.96,287,4.16,High
50,79,24,27.06,61.06,5.95,225,4.29,Low
105,22,50,32.49,64.83,7.46,287,5.03,High
117,54,51,20.55,72.62,6.68,294,5.9,Low
120,32,24,18.29,82.38,7.24,177,4.64,High
113,50,30,19.87,57.24,6.61,200,4.79,Low
98,50,33,34.67,68.74,6.68,192,4.66,High
100,20,46,31.99,82.23,6.88,119,4.18,Medium
68,38,31,32.27,89.74,6.74,148,3.92,High
91,66,49,18.35,50.05,6.9,125,4.56,Low
60,36,33,24.78,75.06,7.5,157,3.69,High
90,23,27,28.56,67.79,6.16,190,3.96,Medium
70,50,58,34.61,71.37,6.8,258,4.97,High
113,75,78,33.46,85.72,6.82,173,6.16,High
66,43,64,24.73,57.31,7.05,201,4.46,Low
71,33,53,23.03,65.02,6.6,270,4.62,Low
104,67,30,23.96,79.07,7.39,91,4.6,High
94,32,66,22.19,71.14,7.21,129,4.56,High
116,43,70,23.41,78.33,6.02,178,5.49,Low
119,40,22,27.54,82.23,6.27,99,4.33,Low
72,74,61,23.74,81.19,7.43,182,5.17,High
96,31,20,22.33,74.36,6.06,89,3.64,Low
50,28,70,24.23,51.06,7.12,83,3.39,Low
66,31,66,19.88,62.88,6.68,258,4.64,Low
64,76,34,25.56,57.19,6.99,183,4.39,Low
104,37,52,23.33,54.22,5.51,131,4.41,High
71,20,27,24.54,86.44,5.76,268,4.17,High
69,22,26,33.88,60.67,7.04,128,3.2,High
89,41,29,33.78,75.63,5.94,129,4.05,High
98,56,51,27.76,84.69,7.3,126,4.89,High
118,42,44,27.91,76.24,6.65,118,4.75,Low
96,72,51,19.15,56.7,6.58,282,5.63,Low
80,48,23,23.16,80.17,7.18,298,4.81,Low
92,47,29,21.88,57.34,6.4,226,4.5,Low
69,23,28,21.8,59.96,5.55,123,3.21,High
92,22,78,20.55,79.47,6.66,152,4.75,Low
111,73,47,33.01,72.7,5.51,105,5.1,High
119,32,55,27.0,67.2,6.99,252,5.37,Low
116,63,22,30.27,78.66,6.96,285,5.56,Medium
80,40,59,26.93,71.75,6.48,209,4.75,Low
75,59,25,33.0,72.24,6.17,208,4.41,High
105,38,68,34.34,61.16,5.59,87,4.56,High
114,33,36,27.07,69.39,6.24,172,4.6,Low
67,37,50,23.61,60.35,6.19,82,3.58,Low
62,40,74,18.63,61.45,6.01,140,4.25,Low
92,64,48,20.95,68.53,6.73,264,5.41,Low
57,55,34,29.52,54.87,6.95,147,3.72,Medium
70,79,27,18.48,80.87,6.43,255,5.02,Low
103,67,26,31.44,55.36,6.49,83,4.24,Medium
66,44,73,32.6,79.63,7.37,266,5.18,High
96,56,72,26.9,70.07,6.92,271,5.79,Low
84,29,65,23.86,89.25,5.77,281,5.26,High
111,78,77,25.07,87.9,6.44,102,5.82,Low
109,25,45,32.2,50.87,5.64,177,4.38,High
114,73,28,31.83,77.76,7.08,150,5.11,Medium
111,52,42,29.58,60.43,6.08,289,5.47,Medium
92,40,29,24.45,62.24,5.6,264,4.63,High
60,35,40,30.95,65.96,5.56,199,3.9,High
120,52,29,26.92,65.21,6.06,196,4.98,Low
59,42,59,21.57,82.82,7.05,298,4.98,Low
89,31,67,25.49,83.69,6.03,142,4.66,Low
85,44,44,33.71,85.51,6.08,108,4.28,High
66,39,64,22.15,59.86,6.55,248,4.66,Low
74,66,68,27.0,73.79,7.07,164,5.02,Low
119,38,31,25.59,75.56,6.33,272,5.25,Low
74,43,71,29.37,61.29,6.22,235,4.92,Medium
79,74,33,27.22,78.99,6.99,201,4.89,Low
100,63,79,20.05,86.68,6.56,143,5.62,Low
93,20,60,23.32,78.56,6.67,206,4.7,Low
54,21,78,25.23,53.0,6.15,300,4.58,Low
88,32,62,22.66,77.7,7.24,170,4.66,High
95,26,38,22.61,71.02,6.84,229,4.51,Low
99,40,64,25.06,55.8,7.13,211,5.0,Low
113,32,59,27.23,77.16,5.59,266,5.5,High
83,41,60,18.44,78.36,5.8,140,4.55,Low
118,27,56,29.16,69.67,7.1,185,4.97,Medium
82,61,44,26.0,65.39,7.06,295,5.25,Low
91,44,52,33.7,64.51,6.42,95,4.24,High
118,20,76,21.81,65.36,5.6,107,4.76,High
117,64,20,31.5,58.72,6.52,184,4.86,Medium
72,30,60,32.05,87.13,7.32,131,4.23,High
56,66,48,33.66,50.53,5.8,159,4.13,High
85,79,46,29.37,50.78,7.26,298,5.5,High
63,62,57,29.64,87.39,6.92,126,4.54,Medium
66,36,20,23.53,67.59,7.39,233,3.87,High
67,20,60,34.56,70.5,5.84,150,3.91,High
75,23,56,31.79,83.53,6.08,255,4.68,Medium
75,65,72,25.95,54.37,7.2,144,4.8,Low
89,38,33,18.97,88.73,6.17,133,4.22,Low
82,47,30,26.95,73.95,7.26,177,4.27,High
103,64,38,30.77,54.24,6.44,244,5.18,Medium
89,79,54,28.03,69.65,5.54,95,4.87,High
66,32,46,29.67,54.54,6.25,276,4.33,Medium
118,44,33,30.52,89.89,6.19,101,4.65,Medium
86,73,46,27.58,72.96,5.63,162,4.96,High
103,34,58,28.48,86.63,5.64,213,5.18,High
54,79,35,26.75,56.44,6.64,152,4.12,Low
98,71,44,32.43,73.55,5.94,256,5.57,High
101,51,30,26.58,61.67,7.08,158,4.44,Low
69,79,60,18.36,58.4,7.4,215,5.13,High
112,27,54,19.43,68.75,6.86,118,4.49,Low
74,24,45,21.55,56.26,7.16,205,3.97,Low
81,21,33,33.97,75.58,7.06,238,4.2,High
74,36,27,27.44,77.82,7.26,137,3.75,High
75,31,49,29.42,80.85,6.63,259,4.69,Medium
99,51,71,25.92,66.72,6.33,201,5.36,Low
100,69,31,22.44,66.04,6.96,205,5.02,Low
94,27,64,33.63,62.85,7.27,185,4.64,High
55,72,65,27.5,59.87,5.93,122,4.41,Low
78,53,64,28.01,80.26,5.59,118,4.64,High
115,41,68,31.56,63.14,5.76,223,5.48,High
115,73,41,28.83,56.42,6.8,122,4.99,Medium
114,57,67,27.67,77.29,6.85,281,6.14,Low
70,25,24,25.88,87.76,6.15,219,3.96,Low
91,45,36,32.21,74.12,5.76,176,4.49,High
59,54,25,29.28,54.54,7.13,93,3.31,Medium
60,20,61,18.2,73.37,7.01,212,4.14,Low
57,80,52,31.01,86.49,6.65,204,5.03,Medium
106,48,26,27.67,61.09,5.85,262,4.92,Low
72,23,39,31.7,84.27,6.31,263,4.39,Medium
117,59,65,33.6,56.15,7.49,198,5.57,High
62,43,54,33.33,61.99,6.48,274,4.64,High
114,49,39,23.43,73.62,7.04,224,5.22,Low
118,33,31,22.19,79.86,5.94,268,5.17,Low
77,79,77,19.37,77.17,6.23,264,5.98,Low
77,32,47,28.52,81.21,5.97,115,3.99,Medium
116,33,47,19.47,63.33,7.17,133,4.56,Low
83,38,60,19.03,60.42,6.49,105,4.15,Low
114,78,70,32.86,60.47,5.66,185,5.9,High
120,78,63,20.83,81.45,5.83,171,6.02,Low
98,64,55,19.3,58.55,6.9,187,5.14,Low
100,79,51,25.05,74.25,7.32,208,5.62,High
76,62,28,26.47,50.86,6.03,173,4.14,Low
118,58,20,28.7,79.84,5.51,177,4.95,High
119,20,48,22.65,75.99,5.56,184,4.8,High
77,34,42,30.66,71.74,6.55,260,4.57,Medium
67,27,28,24.49,86.22,6.98,153,3.66,Low
73,64,56,25.23,76.22,7.1,161,4.78,Low
81,63,76,30.06,63.59,5.91,223,5.42,Medium
77,61,56,20.56,84.02,5.5,176,4.95,High
76,57,63,22.94,87.04,7.04,119,4.73,Low
71,35,62,21.7,87.49,5.7,242,4.88,High
97,33,75,31.05,80.67,6.3,144,4.94,Medium
53,30,76,33.8,70.37,6.24,195,4.33,High
120,77,69,24.21,66.98,5.62,113,5.67,High
64,69,67,29.83,82.73,6.74,111,4.72,Medium
77,65,34,27.07,64.68,6.79,230,4.73,Low
50,32,64,22.79,74.94,6.97,88,3.62,Low
84,37,38,19.98,63.29,5.69,277,4.67,High
80,79,45,31.85,63.56,7.4,244,5.26,High
59,62,75,27.56,81.54,7.19,110,4.63,Low
53,35,69,26.42,76.43,6.1,282,4.79,Low
108,77,57,22.35,66.18,7.08,156,5.48,Low
71,66,68,21.15,58.47,6.34,104,4.52,Low
71,35,75,25.59,75.06,6.4,95,4.24,Low
61,31,22,34.95,60.09,7.05,250,3.75,High
93,56,42,21.71,63.79,6.77,174,4.69,Low
80,70,59,32.65,52.72,5.59,235,5.19,High
96,26,62,20.79,80.46,7.15,272,5.23,Low
53,44,63,31.82,61.64,6.55,134,3.95,Medium
77,68,53,18.51,86.83,6.7,236,5.35,Low
110,67,69,29.56,89.07,6.49,263,6.31,Medium
103,78,30,25.22,57.59,7.27,276,5.47,High
99,70,75,28.27,89.37,6.35,232,6.12,Medium
63,33,22,19.5,74.6,5.89,226,3.84,Low
117,26,73,18.44,73.59,6.77,231,5.49,Low
92,20,37,28.43,89.8,7.21,267,4.72,High
119,61,62,29.61,84.22,6.3,160,5.68,Medium
105,24,48,22.35,57.24,7.1,231,4.68,Low
56,66,33,19.99,65.0,5.77,293,4.7,High
90,70,20,28.11,78.06,6.01,213,4.85,Medium
103,59,73,31.3,67.18,6.4,168,5.43,Medium
81,26,64,31.19,76.97,7.18,180,4.52,Medium
72,38,52,29.16,50.19,6.86,225,4.33,Medium
103,60,41,24.65,52.15,5.79,223,5.04,High
56,40,30,33.0,79.23,7.13,165,3.72,High
102,69,52,18.08,51.67,6.71,148,4.97,Low
60,60,78,18.1,50.99,6.8,243,5.02,Low
75,27,55,22.25,85.64,6.69,129,4.12,Low
62,34,54,34.17,80.55,5.9,174,4.18,High
91,75,34,29.41,55.64,7.03,149,4.63,Medium
60,75,70,20.41,84.57,7.32,217,5.35,High
111,69,47,24.0,87.41,6.32,292,6.12,Low
60,69,59,32.1,69.24,5.56,241,5.03,High
90,30,67,25.47,89.46,6.7,201,5.02,Low
71,38,72,26.88,64.32,5.61,193,4.62,High
100,51,31,20.05,57.78,6.19,132,4.27,Low
89,30,31,34.12,88.38,5.95,272,4.74,High
72,36,32,22.63,79.5,5.9,238,4.32,Low
95,70,48,27.04,87.1,6.52,219,5.52,Low
63,34,76,19.65,71.27,6.36,156,4.38,Low
110,40,52,23.86,80.77,5.64,282,5.58,High
50,53,23,32.56,83.01,6.39,205,3.96,High
83,76,64,28.46,82.63,6.94,136,5.22,Medium
89,49,50,33.89,71.68,6.08,226,4.98,High
91,30,48,30.34,65.35,6.87,101,3.98,Medium
72,60,35,28.4,51.54,6.62,281,4.7,Medium
63,40,30,23.23,76.25,5.79,262,4.29,High
96,20,54,33.44,69.63,6.85,187,4.46,High
85,51,66,26.61,55.37,6.07,183,4.84,Low
105,42,65,22.76,89.19,5.55,196,5.41,High
120,55,33,21.62,88.31,7.36,128,4.99,High
55,68,68,20.78,80.18,7.09,254,5.26,Low
109,39,41,34.57,60.49,7.13,203,4.77,High
118,42,34,30.9,65.02,7.43,201,4.89,High
101,29,25,23.73,79.38,7.28,271,4.73,High
77,48,36,23.28,62.51,6.36,143,4.02,Low
115,63,30,26.11,60.64,6.84,290,5.52,Low
99,60,73,31.44,63.4,6.76,262,5.81,Medium
113,79,56,28.99,80.15,5.75,115,5.51,High
90,48,48,28.2,70.73,7.38,256,5.09,High
58,23,33,24.9,55.47,6.26,198,3.44,Low
85,79,26,18.89,89.44,6.0,164,4.88,Low
97,73,75,18.27,77.6,6.21,189,5.8,Low
101,50,73,18.54,87.95,5.54,100,5.11,High
83,33,48,19.13,71.63,7.23,226,4.58,High
102,21,71,20.02,71.47,5.83,135,4.62,Low
60,62,80,27.96,77.53,6.02,254,5.41,Low
69,73,27,29.56,74.23,7.15,107,4.09,Medium
105,38,71,26.51,75.63,6.7,130,4.97,Low
78,46,23,20.36,63.73,7.34,281,4.49,High
101,20,49,24.54,51.19,5.69,288,4.79,High
96,22,38,23.71,53.29,6.84,279,4.53,Low
99,21,70,19.62,84.01,6.54,270,5.36,Low
82,20,79,34.98,78.35,5.7,192,4.76,High
68,50,27,29.44,74.17,7.21,299,4.65,High
64,56,20,27.65,67.45,6.96,252,4.27,Low
76,45,58,28.29,78.49,6.13,121,4.37,Medium
107,71,41,27.35,68.8,5.77,107,4.87,High
58,44,75,30.1,73.78,6.82,269,5.03,Medium
52,21,59,31.56,69.54,7.23,125,3.52,High
65,55,40,21.06,50.26,6.81,136,3.85,Low
69,57,63,34.11,61.38,6.48,91,4.22,High
118,75,54,31.41,88.18,5.92,267,6.33,Medium
82,20,62,31.77,85.85,6.07,168,4.43,Medium
117,79,33,21.54,69.15,7.42,206,5.54,High
102,51,75,24.54,75.96,6.88,160,5.36,Low
79,29,45,22.41,72.65,6.68,154,4.05,Low
81,65,79,34.84,73.71,7.06,128,5.13,High
113,40,41,20.82,68.7,6.75,179,4.82,Low
50,22,37,28.85,82.04,7.23,86,3.07,High
89,78,34,21.12,56.68,5.63,182,4.83,High
100,44,24,23.71,75.57,6.57,187,4.49,Low
91,66,73,29.45,69.79,6.19,296,6.01,Medium
106,45,80,18.96,78.13,7.01,120,5.23,Low
111,56,39,32.83,64.7,7.14,191,5.04,High
105,45,45,19.44,89.54,7.43,92,4.61,High
92,49,43,27.05,73.85,6.9,172,4.67,Low
99,35,47,32.17,78.55,6.03,238,4.99,High
82,56,79,33.56,55.19,7.36,171,5.02,High
114,65,62,21.76,77.68,6.15,226,5.92,Low
95,42,23,19.06,65.56,6.16,277,4.71,Low
116,43,43,29.5,75.18,5.86,199,5.11,Medium
55,34,48,26.75,72.99,6.81,241,4.22,Low
73,77,63,29.54,77.46,5.85,214,5.39,Medium
75,80,22,31.97,66.58,7.11,264,4.94,Medium
72,53,22,25.97,74.5,6.34,135,3.87,Low
110,46,73,27.84,89.86,7.13,199,5.71,Low
77,74,23,18.45,54.58,6.54,208,4.49,Low
95,61,37,25.64,55.72,5.54,152,4.53,High
52,67,74,24.16,65.19,6.55,206,4.9,Low
68,51,74,34.85,50.55,5.96,285,5.15,High
94,73,35,31.44,51.69,5.56,171,4.74,High
78,41,50,21.24,87.28,6.47,186,4.62,Low
103,68,28,24.51,83.29,7.18,177,5.03,Low
119,70,23,18.53,84.81,5.51,196,5.36,High
93,65,42,19.01,79.29,6.47,238,5.32,Low
108,22,41,24.85,66.15,6.44,106,4.04,Low
79,23,22,22.72,78.52,5.88,148,3.59,Low
115,41,28,24.25,64.56,6.54,184,4.63,Low
108,61,63,34.33,71.01,6.77,183,5.49,High
54,79,53,27.39,76.69,6.97,230,5.02,Low
50,76,54,20.1,56.28,6.36,234,4.73,Low
106,22,22,27.4,54.66,7.02,135,3.72,Low
79,33,57,31.1,63.58,6.86,182,4.36,Medium
78,29,74,19.44,66.14,5.98,171,4.53,Low
86,26,36,28.07,86.08,7.14,142,4.04,Medium
76,52,73,21.75,62.29,6.97,135,4.65,Low
67,71,45,28.7,59.5,6.12,220,4.74,Medium
78,45,47,29.77,56.12,7.26,113,3.96,High
83,62,44,20.59,74.02,5.96,267,5.23,Low
92,40,32,34.81,58.92,6.61,283,4.74,High
82,59,52,33.45,86.28,7.18,143,4.79,High
119,71,46,26.28,85.52,5.55,259,6.08,High
54,57,56,23.69,53.64,6.01,195,4.29,Low
65,24,40,22.63,85.56,7.19,96,3.49,Low
92,45,73,30.54,52.24,7.03,215,5.1,Medium
103,57,74,28.17,72.04,7.44,263,5.94,High
66,32,57,23.12,76.91,6.28,95,3.83,Low
106,51,59,25.14,71.66,6.24,122,4.93,Low
75,58,30,34.43,75.09,6.5,296,4.95,High
60,70,51,20.58,85.16,6.85,196,4.85,Low
102,69,32,28.45,65.97,6.5,162,4.85,Medium
91,80,20,31.25,73.73,6.87,156,4.7,Medium
60,63,35,20.11,54.79,7.33,90,3.63,High
118,43,75,33.7,81.62,6.21,284,6.17,High
88,48,45,28.03,84.98,6.75,255,5.14,Medium
72,32,57,23.81,51.48,5.94,188,4.14,Low
67,66,27,30.42,79.96,6.99,191,4.42,Medium
82,50,38,23.77,86.87,6.1,255,4.98,Low
117,66,37,26.57,79.14,6.39,93,4.92,Low
93,63,33,24.81,89.82,7.4,221,5.15,High
96,34,68,19.08,88.19,7.49,276,5.56,High
107,26,36,21.1,86.79,5.59,188,4.62,High
83,22,72,21.69,79.44,6.49,294,5.21,Low
85,23,26,24.29,57.73,6.87,157,3.6,Low
75,62,24,18.98,53.99,6.52,90,3.67,Low
107,27,70,24.01,63.63,5.68,179,4.93,High
88,24,23,20.51,72.74,7.35,153,3.74,High
112,47,28,29.63,67.74,7.12,148,4.53,Medium
58,35,73,26.59,81.84,7.34,129,4.23,High
92,50,24,19.82,56.69,7.15,148,4.07,Low
57,48,62,22.04,84.41,6.67,89,4.07,Low
