N,P,K,temperature,humidity,ph,rainfall,health
132,19,34,18.5,74.4,7.8,93.9,Warning
101,137,160,30.0,70.5,4.3,237.0,Dangerous
26,56,102,34.7,73.8,4.0,296.8,Dangerous
27,17,82,42.0,37.5,5.3,273.3,Dangerous
70,5,20,25.4,54.4,5.8,290.3,Warning
40,100,99,12.8,90.1,8.6,21.2,Dangerous
30,72,161,27.1,53.7,7.8,104.0,Warning
61,71,157,43.4,59.2,5.3,179.2,Dangerous
14,80,194,40.3,71.6,8.4,239.9,Dangerous
51,13,194,28.7,84.1,6.7,269.1,Warning
80,8,17,32.9,74.2,5.8,264.0,Warning
80,12,22,39.5,81.4,7.6,238.9,Dangerous
52,46,150,40.4,37.2,5.7,264.8,Dangerous
139,53,136,34.8,61.5,5.2,54.8,Dangerous
127,53,48,21.3,67.0,6.4,218.6,Healthy
1,132,203,14.0,90.3,7.9,95.6,Dangerous
98,113,124,24.1,89.8,6.8,192.3,Healthy
60,17,79,36.7,58.5,8.3,132.7,Dangerous
0,17,55,40.1,48.6,8.2,246.8,Dangerous
54,103,3,42.8,63.6,5.7,274.8,Dangerous
65,90,31,20.0,93.0,6.5,30.8,Warning
12,14,65,43.2,45.4,5.3,232.8,Dangerous
77,68,115,18.6,67.2,7.2,28.8,Warning
129,106,35,35.3,82.6,5.9,122.8,Warning
80,56,1,29.8,32.3,7.7,273.0,Warning
33,101,133,25.0,89.5,7.6,203.6,Warning
105,48,59,39.7,52.2,8.3,253.2,Dangerous
72,62,3,21.7,50.6,8.4,70.2,Dangerous
23,144,106,21.7,93.5,5.4,274.2,Dangerous
32,101,162,33.7,70.8,7.4,25.0,Warning
62,133,36,25.3,66.5,6.2,299.9,Warning
45,132,129,11.6,72.4,8.9,52.1,Dangerous
118,37,200,32.8,85.4,7.7,162.3,Warning
89,135,148,14.5,30.9,4.8,47.3,Dangerous
45,124,20,41.8,30.5,8.1,258.3,Dangerous
0,22,157,35.6,36.9,4.4,179.8,Dangerous
0,145,86,13.8,48.8,8.9,105.6,Dangerous
52,115,24,19.0,24.0,7.0,109.9,Warning
17,55,201,41.6,83.8,6.5,176.4,Dangerous
123,119,85,28.4,20.3,7.7,214.1,Warning
64,42,194,23.9,93.9,5.3,30.3,Dangerous
16,114,87,10.4,71.2,8.8,27.9,Dangerous
49,137,197,29.0,51.9,7.3,295.9,Healthy
123,126,12,33.7,27.2,8.8,51.6,Dangerous
139,55,125,21.8,35.3,5.5,172.1,Warning
21,78,149,39.3,77.7,7.0,70.4,Dangerous
71,121,154,42.4,23.4,7.6,288.0,Dangerous
103,103,168,13.3,65.9,4.5,155.2,Dangerous
15,82,96,38.8,89.3,6.6,93.2,Dangerous
138,117,23,41.7,38.5,8.0,299.2,Dangerous
32,107,172,28.5,59.2,7.7,260.7,Warning
85,103,115,17.1,75.4,5.0,255.2,Dangerous
134,122,105,33.8,82.8,6.8,131.9,Warning
18,128,115,34.3,46.1,4.9,238.8,Dangerous
20,93,65,10.0,88.9,8.3,266.4,Dangerous
63,70,157,13.3,53.7,6.3,147.8,Dangerous
51,129,45,23.7,76.0,4.4,197.3,Dangerous
69,58,114,16.8,42.8,8.7,285.1,Dangerous
18,128,85,21.6,61.6,6.8,210.1,Warning
93,136,106,14.9,22.7,9.0,190.6,Dangerous
62,123,65,38.6,55.8,4.8,190.3,Dangerous
26,127,178,37.6,64.4,5.6,117.2,Warning
12,128,174,23.3,73.9,4.2,131.0,Dangerous
8,43,18,17.4,79.7,4.4,191.7,Dangerous
34,110,170,10.2,50.2,8.9,113.0,Dangerous
97,77,202,34.4,37.2,8.2,22.9,Dangerous
57,69,97,44.6,39.4,8.4,161.0,Dangerous
88,47,108,41.9,71.1,4.3,146.3,Dangerous
80,0,92,40.9,29.0,8.3,217.7,Dangerous
76,35,84,15.4,86.6,6.8,84.4,Warning
93,21,108,33.3,100.0,8.0,21.5,Warning
29,4,92,18.5,28.1,5.0,98.0,Dangerous
89,129,174,15.9,88.3,6.4,147.4,Warning
118,78,22,21.6,63.3,4.6,199.3,Dangerous
36,99,54,34.3,23.2,5.0,143.6,Dangerous
64,61,26,27.7,88.3,6.3,266.7,Warning
111,103,38,11.6,46.5,7.9,174.5,Dangerous
60,102,198,18.5,25.2,8.7,145.3,Dangerous
11,71,150,36.1,90.5,5.1,81.4,Dangerous
65,12,60,12.0,86.7,6.6,176.8,Dangerous
84,106,30,33.3,66.9,6.8,77.0,Warning
128,144,83,25.1,68.7,8.9,156.0,Dangerous
127,138,115,14.5,51.6,5.0,294.6,Dangerous
70,129,144,12.1,56.4,7.8,125.5,Dangerous
75,9,5,38.1,93.0,8.9,54.3,Dangerous
70,73,167,29.6,64.8,6.9,152.8,Healthy
8,98,74,36.3,25.5,5.4,168.1,Dangerous
15,24,24,37.7,62.7,7.8,93.8,Warning
115,142,84,27.1,75.5,5.7,206.9,Warning
128,7,64,26.0,51.0,5.2,99.6,Dangerous
24,121,121,27.5,90.9,7.5,46.8,Warning
131,54,185,28.0,23.3,5.0,285.4,Dangerous
85,42,69,26.1,28.2,6.8,30.6,Warning
18,1,36,17.3,95.3,4.4,266.4,Dangerous
42,55,19,16.6,85.3,7.5,81.2,Warning
46,26,9,43.5,43.4,6.2,86.2,Dangerous
83,121,132,29.6,53.5,6.0,82.3,Healthy
138,70,186,30.2,26.1,6.9,58.5,Warning
83,87,74,40.6,44.0,5.5,212.5,Dangerous
118,110,31,35.5,72.6,6.4,61.5,Warning
117,122,116,40.6,48.7,4.6,286.5,Dangerous
114,81,152,26.5,42.2,6.9,121.1,Warning
39,135,205,26.8,20.9,4.9,279.2,Dangerous
33,0,187,32.5,38.4,6.8,195.3,Warning
62,102,203,24.2,66.9,5.0,171.1,Dangerous
92,114,203,37.5,88.9,4.7,52.0,Dangerous
95,142,101,27.0,35.8,6.0,194.1,Warning
38,39,181,20.2,22.2,6.9,77.3,Warning
123,128,148,20.2,40.8,4.2,34.5,Dangerous
100,86,66,24.1,49.8,8.7,150.5,Dangerous
55,35,58,26.0,85.8,5.3,123.7,Dangerous
87,71,176,23.4,65.5,6.1,235.5,Healthy
134,28,143,23.2,69.6,5.2,46.9,Dangerous
129,98,195,28.6,21.0,8.8,107.9,Dangerous
91,6,88,23.7,98.8,6.8,41.5,Warning
39,21,203,30.5,56.0,7.1,27.5,Warning
12,123,186,28.4,85.9,7.3,134.0,Warning
15,81,108,12.4,40.6,7.1,49.4,Dangerous
1,32,185,14.4,22.1,7.1,221.6,Dangerous
61,125,192,11.0,88.5,5.6,105.2,Dangerous
85,63,110,30.3,56.9,8.0,221.6,Warning
65,30,192,14.6,46.9,8.1,252.9,Dangerous
50,37,21,27.1,39.1,8.7,82.8,Dangerous
111,115,77,43.6,64.3,8.4,118.4,Dangerous
27,107,141,31.8,47.8,6.3,292.5,Warning
135,62,174,12.1,49.8,6.0,153.6,Dangerous
110,46,111,19.8,63.0,8.6,266.9,Dangerous
87,102,156,36.7,73.9,6.0,182.8,Warning
79,72,15,39.6,83.9,6.8,203.8,Dangerous
45,66,1,16.4,41.1,4.9,91.5,Dangerous
56,134,91,29.8,60.1,4.6,200.7,Dangerous
52,108,6,42.0,24.8,5.0,31.2,Dangerous
65,88,105,36.0,47.0,5.9,38.1,Warning
99,143,67,10.2,54.3,8.3,181.5,Dangerous
30,53,188,13.7,62.8,7.0,134.3,Dangerous
4,50,1,38.8,27.2,5.1,42.6,Dangerous
75,42,131,19.8,63.4,5.1,275.6,Dangerous
80,9,109,22.4,78.9,6.1,268.7,Warning
54,102,131,10.5,88.1,4.0,202.4,Dangerous
75,27,197,27.2,42.2,5.6,262.3,Warning
71,92,13,40.2,68.3,6.2,212.4,Dangerous
107,12,154,35.2,35.1,7.5,271.4,Warning
77,58,61,21.7,83.9,8.8,26.3,Dangerous
56,3,122,17.5,64.8,5.9,227.0,Warning
76,111,183,19.3,37.2,8.1,184.4,Dangerous
74,120,114,22.5,47.8,6.8,220.6,Warning
79,11,177,40.5,81.2,6.8,61.7,Dangerous
120,124,46,25.0,66.1,8.2,182.8,Dangerous
115,53,155,16.1,75.1,7.9,190.6,Warning
22,133,18,15.8,36.0,4.1,83.9,Dangerous
16,115,186,33.8,32.2,5.5,37.9,Warning
110,29,29,39.8,26.8,4.4,241.5,Dangerous
55,6,75,41.7,82.6,5.3,195.6,Dangerous
83,120,52,35.6,51.5,8.8,100.6,Dangerous
117,139,8,38.5,96.3,5.8,130.7,Dangerous
136,61,184,20.5,91.4,5.6,112.1,Warning
1,24,31,19.0,37.2,5.8,90.3,Warning
115,141,170,36.3,52.0,8.1,275.0,Dangerous
71,136,112,32.1,77.5,8.8,37.4,Dangerous
95,60,21,38.9,73.9,4.8,120.4,Dangerous
102,70,202,34.7,95.6,8.2,259.6,Dangerous
41,72,135,15.4,32.3,8.4,266.4,Dangerous
108,135,9,44.8,58.4,8.1,193.8,Dangerous
38,134,11,16.9,74.8,4.7,82.8,Dangerous
87,16,37,36.4,25.4,7.1,80.6,Warning
126,99,58,14.7,76.8,8.2,236.0,Dangerous
100,101,98,40.3,52.6,4.9,248.8,Dangerous
3,142,150,10.8,33.4,4.1,155.9,Dangerous
36,24,184,40.8,90.3,7.5,43.4,Dangerous
38,99,39,18.4,74.6,5.1,128.9,Dangerous
46,66,141,20.0,86.9,5.0,243.3,Dangerous
127,90,82,29.5,48.6,5.4,186.8,Dangerous
71,126,128,28.4,44.2,6.8,286.8,Warning
53,61,21,40.9,98.3,5.3,196.3,Dangerous
60,102,82,31.4,96.3,4.2,138.8,Dangerous
2,30,183,33.9,71.0,5.7,76.7,Warning
96,50,68,13.4,42.6,4.9,92.9,Dangerous
86,20,148,28.9,32.1,5.9,62.4,Warning
14,89,104,21.0,46.6,4.4,188.7,Dangerous
2,98,29,40.9,85.6,4.4,277.5,Dangerous
136,94,77,27.5,36.4,4.4,190.5,Dangerous
111,42,125,18.0,85.0,8.5,160.6,Dangerous
19,117,62,31.5,91.4,4.5,99.7,Dangerous
62,5,18,42.6,23.4,4.4,244.3,Dangerous
21,118,86,34.2,30.8,7.3,225.9,Warning
110,76,150,13.7,34.9,5.1,268.8,Dangerous
2,110,82,29.0,72.5,6.4,243.1,Warning
53,61,178,43.6,47.0,5.7,244.8,Dangerous
97,122,71,39.3,48.0,6.0,246.3,Dangerous
41,117,19,44.0,25.2,5.8,33.0,Dangerous
125,88,39,25.5,22.4,5.9,21.0,Warning
48,35,189,29.1,28.8,8.7,28.7,Dangerous
40,91,91,36.4,26.3,5.6,126.2,Warning
18,55,76,41.3,43.7,6.8,176.9,Dangerous
22,108,154,28.8,36.7,5.3,213.0,Dangerous
46,75,153,36.2,67.2,7.2,82.0,Warning
88,45,203,25.9,44.3,6.7,265.7,Warning
70,75,35,30.9,88.2,4.8,276.1,Dangerous
57,123,106,10.4,54.6,4.2,258.6,Dangerous
43,60,144,41.6,52.6,5.1,32.7,Dangerous
128,113,179,21.5,59.5,5.2,190.5,Dangerous
37,108,60,17.8,20.7,4.3,48.1,Dangerous
50,145,1,39.0,73.6,7.8,218.5,Dangerous
87,12,202,22.5,80.5,7.0,255.3,Warning
106,64,158,18.1,40.4,4.4,102.0,Dangerous
72,21,151,24.8,66.2,8.1,100.9,Dangerous
25,134,81,24.3,51.4,6.1,120.5,Warning
119,44,51,25.9,41.2,6.6,120.8,Warning
20,80,125,44.6,36.7,5.3,29.1,Dangerous
104,140,25,15.9,75.2,5.0,36.3,Dangerous
129,2,192,14.1,78.9,5.1,297.1,Dangerous
92,27,100,13.8,55.5,5.4,87.5,Dangerous
123,110,125,10.9,34.8,4.4,99.3,Dangerous
75,82,165,18.7,36.2,5.8,230.3,Warning
99,104,122,32.3,24.1,8.9,212.1,Dangerous
111,86,174,28.7,42.2,8.4,26.1,Dangerous
80,125,137,27.0,21.1,6.7,167.4,Warning
91,55,84,18.9,71.9,4.0,263.0,Dangerous
13,50,195,32.8,99.3,5.9,99.8,Warning
45,141,124,22.5,71.2,4.2,30.6,Dangerous
9,37,40,31.3,42.6,9.0,71.3,Dangerous
55,32,49,41.1,78.3,7.9,282.5,Dangerous
90,64,20,29.9,78.7,5.8,142.3,Warning
1,86,122,26.2,78.2,6.8,113.8,Warning
70,122,171,43.3,27.5,6.3,198.1,Dangerous
3,17,200,35.1,33.2,6.0,291.6,Warning
125,104,155,16.6,69.3,5.9,112.5,Warning
73,117,50,37.7,67.6,5.1,48.6,Dangerous
3,97,46,10.8,70.4,6.3,141.1,Dangerous
119,64,93,27.9,72.0,7.7,115.6,Warning
74,9,145,22.9,69.2,5.5,266.8,Warning
115,8,31,33.3,23.7,8.2,263.1,Dangerous
6,59,48,38.3,67.9,4.2,165.3,Dangerous
44,141,79,27.8,36.7,6.4,103.0,Warning
4,116,205,40.8,38.2,8.6,156.9,Dangerous
88,55,147,16.9,35.6,5.8,43.8,Warning
97,136,90,27.3,75.8,6.5,259.2,Healthy
73,65,66,37.5,34.3,8.6,35.9,Dangerous
114,49,65,36.9,63.8,4.4,252.2,Dangerous
139,121,5,24.8,60.2,8.0,141.1,Warning
13,65,15,28.1,97.4,8.5,179.1,Dangerous
86,32,10,23.9,37.2,4.8,103.5,Dangerous
56,49,92,32.5,91.2,8.0,199.1,Warning
0,29,23,39.1,81.9,7.4,269.8,Dangerous
78,124,167,26.8,30.9,5.2,292.2,Dangerous
85,3,41,25.3,72.3,4.5,118.0,Dangerous
122,62,93,42.6,27.6,7.1,190.1,Dangerous
111,8,199,21.4,66.0,5.9,47.7,Warning
114,136,190,24.3,26.1,6.1,72.0,Warning
80,55,108,40.2,94.1,6.0,174.0,Dangerous
75,113,128,41.6,38.5,7.8,198.3,Dangerous
44,2,27,17.3,60.5,7.7,294.7,Warning
55,17,76,30.7,30.6,6.0,78.9,Warning
111,44,88,21.7,23.4,8.5,125.7,Dangerous
19,102,36,37.7,35.7,7.1,120.0,Warning
96,101,96,44.5,25.5,7.5,109.0,Dangerous
72,120,173,35.6,99.8,6.0,218.8,Warning
103,43,64,43.1,42.9,7.3,28.3,Dangerous
137,51,124,19.2,27.8,4.1,243.0,Dangerous
124,71,91,20.7,47.1,4.7,96.5,Dangerous
62,48,122,35.5,90.3,9.0,248.1,Dangerous
129,37,88,34.1,33.4,5.7,262.3,Warning
14,127,149,25.1,84.4,6.2,154.7,Warning
3,48,182,10.4,55.3,5.2,153.7,Dangerous
102,19,7,42.6,75.8,4.4,149.1,Dangerous
75,15,119,17.9,69.4,7.2,220.0,Warning
72,41,79,16.6,74.9,6.8,251.2,Warning
98,105,30,19.7,48.5,8.3,299.6,Dangerous
15,10,19,13.5,26.9,5.6,119.3,Dangerous
45,73,121,20.5,97.9,7.8,102.6,Warning
85,11,11,35.0,21.4,8.8,54.1,Dangerous
96,5,78,11.5,43.6,8.8,193.6,Dangerous
96,113,77,14.9,65.1,8.3,107.5,Dangerous
62,10,28,33.9,53.7,6.2,88.5,Warning
43,134,89,29.9,85.9,6.9,126.8,Healthy
1,128,205,27.1,36.7,4.3,273.1,Dangerous
73,99,51,22.5,51.5,6.8,117.1,Healthy
11,138,72,44.2,89.1,5.6,284.5,Dangerous
97,76,26,34.7,94.8,8.0,40.6,Warning
78,71,111,10.3,34.9,7.1,199.2,Dangerous
15,99,22,14.1,32.3,7.2,58.1,Dangerous
79,53,5,44.2,36.3,8.6,252.3,Dangerous
90,124,173,21.0,41.9,6.1,47.9,Warning
111,61,159,25.6,30.6,4.6,125.0,Dangerous
6,4,193,21.3,71.9,8.3,268.2,Dangerous
91,75,104,20.1,20.2,4.7,232.3,Dangerous
58,101,103,22.6,26.0,5.5,237.3,Warning
33,31,148,23.9,75.4,4.4,73.0,Dangerous
119,8,65,40.0,90.9,8.0,136.3,Dangerous
118,88,178,43.4,82.3,8.8,114.8,Dangerous
93,140,180,44.9,62.7,5.6,120.4,Dangerous
127,37,100,11.7,95.1,6.4,256.6,Dangerous
60,89,76,13.5,23.2,5.1,147.1,Dangerous
77,4,152,14.0,55.6,6.3,98.0,Dangerous
27,111,16,27.5,97.7,7.4,253.7,Warning
9,66,45,11.6,46.4,7.8,101.8,Dangerous
114,75,19,34.4,39.9,7.7,217.7,Warning
44,61,29,18.3,73.2,4.2,120.5,Dangerous
127,101,164,28.6,26.1,4.7,236.1,Dangerous
109,130,100,36.2,24.7,5.8,121.1,Warning
106,103,203,28.6,85.6,5.3,229.9,Dangerous
34,3,124,25.3,85.8,7.8,75.3,Warning
48,145,165,36.7,25.1,6.5,41.1,Warning
131,58,63,26.3,44.3,7.1,237.6,Warning
19,46,34,32.4,29.6,8.6,128.4,Dangerous
136,117,197,24.0,25.6,5.4,296.0,Dangerous
127,33,132,38.6,34.0,4.9,44.4,Dangerous
123,114,2,35.3,54.7,9.0,192.2,Dangerous
109,24,74,36.8,46.4,6.9,48.0,Warning
44,102,93,21.4,38.5,4.5,283.6,Dangerous
34,3,172,14.3,69.9,6.3,218.7,Dangerous
75,27,180,28.1,77.1,4.7,58.5,Dangerous
121,140,141,21.2,67.1,7.1,205.7,Healthy
125,130,0,21.8,24.0,5.0,242.7,Dangerous
25,66,142,21.1,33.3,6.1,142.7,Warning
89,29,94,19.8,90.9,7.1,283.2,Warning
120,68,192,27.2,25.8,8.5,226.7,Dangerous
3,76,62,16.4,78.5,8.5,291.6,Dangerous
101,14,66,40.3,28.3,8.7,275.1,Dangerous
100,119,3,16.3,99.1,8.8,78.9,Dangerous
139,31,173,12.9,35.9,6.2,32.3,Dangerous
36,143,114,35.8,85.3,4.9,47.8,Dangerous
79,130,65,23.4,60.3,4.2,161.0,Dangerous
121,2,77,17.7,27.0,7.7,173.2,Warning
47,21,78,39.6,38.2,6.2,259.2,Dangerous
115,25,120,24.9,38.9,6.0,279.0,Warning
137,86,204,43.1,64.4,8.8,103.6,Dangerous
66,108,130,11.5,92.6,7.7,25.9,Dangerous
73,115,71,11.7,69.3,8.7,131.8,Dangerous
63,74,205,24.2,57.0,4.0,142.2,Dangerous
72,28,186,24.8,70.2,4.6,274.9,Dangerous
87,12,183,33.7,99.4,7.9,103.9,Warning
27,80,117,14.5,38.1,6.2,294.2,Dangerous
3,102,192,29.8,84.4,7.8,244.0,Warning
53,85,94,26.4,80.6,9.0,200.9,Dangerous
134,59,9,16.9,69.7,7.9,294.4,Warning
133,18,19,29.2,75.5,7.1,138.0,Warning
7,49,9,17.7,96.0,8.7,260.4,Dangerous
135,83,2,21.0,53.1,5.1,98.3,Dangerous
3,23,145,10.5,36.0,7.4,101.4,Dangerous
35,14,29,30.6,33.1,8.6,271.9,Dangerous
85,35,12,36.0,51.1,8.0,285.9,Warning
3,103,85,18.0,62.7,7.2,81.4,Warning
133,66,8,15.5,83.6,4.9,101.9,Dangerous
106,45,60,27.6,36.2,8.1,38.5,Dangerous
126,97,120,36.6,64.5,8.1,204.7,Dangerous
114,46,15,33.7,76.0,4.0,139.6,Dangerous
19,106,108,23.1,77.0,6.7,77.4,Warning
77,126,145,10.3,73.8,5.8,187.8,Dangerous
82,61,113,37.9,73.1,7.9,227.8,Warning
25,18,116,10.9,57.6,7.9,104.8,Dangerous
21,15,138,30.0,99.1,8.4,58.2,Dangerous
91,142,108,11.0,84.8,6.7,228.9,Dangerous
9,72,188,28.2,76.8,6.5,83.7,Warning
88,72,2,43.5,87.9,7.4,187.9,Dangerous
122,32,66,34.1,62.9,4.1,285.9,Dangerous
98,18,33,27.5,37.7,7.5,140.8,Warning
6,57,160,11.2,63.8,7.3,150.3,Dangerous
113,126,175,29.1,33.5,7.5,221.8,Warning
37,12,81,38.6,43.1,4.1,34.7,Dangerous
67,32,36,33.7,92.0,4.2,29.3,Dangerous
45,91,90,10.5,90.0,6.6,204.5,Dangerous
69,0,26,30.1,93.7,7.3,226.9,Warning
45,3,94,34.3,49.4,5.0,147.9,Dangerous
17,134,119,36.0,66.1,7.9,186.4,Warning
14,143,187,17.2,58.3,4.4,178.8,Dangerous
67,85,48,10.3,94.7,8.8,121.9,Dangerous
78,46,102,11.6,39.2,8.6,172.5,Dangerous
49,50,58,21.8,67.6,8.1,238.3,Dangerous
31,55,167,44.9,27.5,6.4,239.4,Dangerous
86,79,99,10.2,46.4,5.7,236.4,Dangerous
10,140,189,13.1,86.2,7.5,245.0,Dangerous
80,122,119,33.5,93.5,5.8,31.6,Warning
127,75,137,12.9,37.5,5.4,43.3,Dangerous
50,16,177,29.7,28.4,5.7,105.5,Warning
34,143,89,27.0,88.3,8.8,81.8,Dangerous
81,108,31,39.9,97.9,8.2,212.4,Dangerous
124,79,174,43.1,27.1,6.6,272.5,Dangerous
9,20,154,43.7,53.6,7.3,228.8,Dangerous
37,90,25,22.7,74.1,4.9,283.7,Dangerous
110,39,133,29.2,67.7,4.4,192.0,Dangerous
37,103,109,33.2,30.1,7.7,266.4,Warning
31,10,122,22.5,48.8,6.5,151.4,Warning
7,55,86,20.7,84.6,4.9,88.0,Dangerous
86,107,161,18.0,22.2,6.2,237.2,Warning
13,92,159,21.6,63.3,4.8,115.1,Dangerous
83,136,32,31.8,84.1,5.1,201.6,Dangerous
46,81,112,33.8,54.0,4.9,210.6,Dangerous
120,28,174,16.1,49.7,8.3,231.5,Dangerous
63,123,113,14.5,48.8,4.7,246.5,Dangerous
90,22,74,17.4,70.4,4.3,226.0,Dangerous
132,9,139,29.1,78.1,8.6,91.0,Dangerous
91,76,145,11.7,34.5,7.0,214.7,Dangerous
90,93,92,44.6,35.4,8.6,128.6,Dangerous
75,26,120,14.7,96.2,6.5,228.4,Dangerous
49,74,122,21.5,91.1,5.7,82.5,Warning
125,8,32,27.8,82.7,6.4,221.0,Warning
127,10,139,27.4,82.3,4.3,267.9,Dangerous
136,86,205,12.3,69.0,5.9,114.7,Dangerous
99,13,5,18.4,62.4,4.7,292.1,Dangerous
4,30,149,27.9,61.4,4.9,41.9,Dangerous
62,56,108,12.0,68.6,6.2,143.7,Dangerous
87,90,38,30.0,45.0,6.9,117.9,Warning
63,112,68,34.1,45.8,8.3,241.0,Dangerous
120,95,72,43.4,64.2,7.7,257.1,Dangerous
49,67,107,28.1,26.7,5.6,296.3,Warning
134,24,124,34.2,39.9,4.6,25.5,Dangerous
75,36,151,34.3,95.9,6.8,93.4,Warning
8,144,105,44.2,73.5,4.8,35.9,Dangerous
86,16,194,16.8,92.5,8.5,59.2,Dangerous
76,18,80,12.2,99.3,5.6,177.6,Dangerous
98,93,97,24.0,39.4,7.5,80.5,Warning
12,139,103,31.2,44.0,7.2,118.5,Warning
127,59,145,22.5,61.5,4.3,288.8,Dangerous
129,66,140,21.4,44.2,5.9,263.1,Warning
74,142,200,32.2,36.7,4.6,184.5,Dangerous
109,77,138,21.8,95.7,7.8,42.5,Warning
31,31,29,23.3,48.0,4.9,90.1,Dangerous
67,34,153,10.4,66.7,5.2,232.3,Dangerous
49,88,17,17.1,48.0,6.6,285.9,Warning
26,107,40,35.5,77.7,4.5,227.5,Dangerous
47,107,8,42.3,50.8,5.2,85.9,Dangerous
87,33,200,41.1,71.6,7.0,40.1,Dangerous
7,37,44,32.9,44.4,8.1,273.5,Dangerous
124,120,121,32.5,96.2,8.7,58.6,Dangerous
40,28,129,15.3,94.8,8.0,112.0,Warning
108,132,118,30.5,84.6,6.3,195.9,Warning
66,64,193,17.8,57.1,8.5,103.7,Dangerous
87,46,187,16.8,34.6,8.3,164.7,Dangerous
112,83,127,42.0,48.7,4.3,234.7,Dangerous
10,70,129,39.9,92.9,4.9,145.7,Dangerous
69,57,26,34.9,61.7,6.3,257.7,Warning
95,28,67,33.6,27.0,8.2,177.9,Dangerous
121,86,5,39.2,36.5,5.0,259.2,Dangerous
129,66,108,32.8,71.9,4.3,109.0,Dangerous
122,33,189,28.7,68.3,6.3,260.3,Warning
